connection_id,connection_duration_sec,protocol_type,service_type,connection_state,packets_sent,packets_received,bytes_sent,bytes_received,data_rate_bytes_per_sec,ttl_sender,ttl_receiver,sender_data_load,receiver_data_load,packets_lost_sender,packets_lost_receiver,time_between_sender_packets,time_between_receiver_packets,jitter_sender,jitter_receiver,tcp_window_sender,tcp_sequence_sender,tcp_sequence_receiver,tcp_window_receiver,tcp_round_trip_time,tcp_syn_ack_time,tcp_ack_data_time,mean_packet_size_sender,mean_packet_size_receiver,http_transaction_depth,server_response_size,connections_per_service,state_ttl_combinations,connections_to_destination_short_term,connections_from_source_to_dest_port,connections_to_dest_from_source_port,connections_between_source_dest,ftp_login_attempt,ftp_command_count,http_method_count,connections_from_source,connections_to_service,same_ip_port,is_attack
3575,0.654355,tcp,-,FIN,10,8,564,354,25.979782,254,252,6210.696289,3789.991699,2,1,70.958778,90.773859,5316.727849,137.5765,255,2844174067,1661456290,255,0.056212,0.018934,0.037278,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
24648,0.058395,udp,-,CON,4,4,568,320,119.87328,31,29,58361.16406,32879.52734,0,0,14.338333,18.956666,20.261908,26.796047,0,0,0,0,0.0,0.0,0.0,142,80,0,0,9,0,4,1,1,3,0,0,0,5,7,0,0
54062,1e-05,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,6,4,4,5,0,0,0,9,9,0,1
47433,0.213658,tcp,http,FIN,10,6,1040,268,70.205654,254,252,35046.66406,8387.235352,2,1,21.911444,40.545,1157.067895,67.248234,255,4099987431,3774241956,255,0.058512,0.010929,0.047583,104,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
82191,0.492845,tcp,-,FIN,10,6,534,268,30.435533,254,252,7807.728516,3636.031738,2,1,51.864444,86.213398,2812.981049,122.530453,255,853508621,3353143169,255,0.124059,0.061768,0.062291,53,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
53792,1.1e-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,11,2,7,7,3,7,0,0,0,8,11,0,1
76595,1.085727,tcp,-,FIN,10,10,608,646,17.499795,254,252,4037.847656,4288.371094,2,3,120.636333,106.608445,6672.517129,163.917828,255,1182003712,1827825717,255,0.243854,0.125544,0.11831,61,65,0,0,2,1,1,1,1,1,0,0,0,2,1,0,0
73065,0.90591,tcp,-,FIN,10,8,902,354,18.765661,254,252,7170.689941,2737.578857,2,1,100.553,118.117289,5275.498132,232.243219,255,2699307191,4085400973,255,0.153594,0.079088,0.074506,90,44,0,0,2,1,1,1,1,1,0,0,0,4,2,0,0
54614,1.1e-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,7,7,3,7,0,0,0,7,10,0,1
41621,0.940022,tcp,-,FIN,10,8,534,354,18.084683,254,252,4093.52124,2638.236084,2,1,98.732,126.129859,5998.08521,224.613359,255,1255933809,1288396541,255,0.086938,0.057105,0.029833,53,44,0,0,2,1,2,1,1,2,0,0,0,1,5,0,0
64787,1.1e-05,udp,-,INT,2,0,168,0,90909.0902,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,3,2,1,1,1,1,0,0,0,2,1,0,1
70267,9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,0
60655,7e-06,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,12,2,7,7,3,7,0,0,0,8,12,0,1
30213,0.086108,udp,-,CON,4,4,568,304,81.29326,31,29,39578.20313,21182.70117,0,0,23.672334,23.588334,33.47632,33.34975,0,0,0,0,0.0,0.0,0.0,142,76,0,0,9,0,3,1,1,2,0,0,0,2,18,0,0
3179,9e-06,mhrp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,3,7,0,1
46086,0.229491,tcp,-,FIN,10,6,1612,268,65.362042,254,252,50581.50391,7808.585449,2,1,23.635667,41.632398,1201.593428,63.922527,255,2210444004,2737928716,255,0.0647,0.021328,0.043372,161,45,0,0,10,1,3,3,1,3,0,0,0,3,9,0,1
70585,0.598284,tcp,-,FIN,10,6,534,268,25.071705,254,252,6431.728027,2995.23291,2,1,66.476,111.476398,3536.40102,189.862109,255,1075488034,3577543177,255,0.078796,0.039841,0.038955,53,45,0,0,3,1,1,1,1,2,0,0,0,2,2,0,0
54876,1.1e-05,udp,-,INT,2,0,168,0,90909.0902,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,1
55027,5e-06,tp++,-,INT,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,23,2,6,6,6,6,0,0,0,8,18,0,1
56388,1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,15,2,4,4,4,4,0,0,0,4,15,0,1
47547,1.042297,tcp,-,FIN,12,10,1144,1080,20.147808,254,252,8051.447754,7460.445312,3,2,94.209271,111.122891,5720.554109,231.622203,255,3386023675,604927295,255,0.107419,0.042183,0.065236,95,108,0,0,2,1,1,1,1,1,0,0,0,2,1,0,1
50603,1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,4,4,4,4,0,0,0,4,7,0,1
60166,0.323824,tcp,-,FIN,10,6,840,268,46.32146,254,252,18676.8125,5533.870605,2,1,33.244111,54.703602,1676.797584,77.558297,255,3836684097,1076247050,255,0.093885,0.050296,0.043589,84,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,1
62647,7e-06,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,7,7,4,7,0,0,0,7,14,0,1
40865,0.794067,tcp,-,FIN,14,10,774,556,28.964809,254,252,7243.721191,5047.433105,4,3,58.438383,81.130219,2978.386658,106.519023,255,3678694765,724302967,255,0.138432,0.063887,0.074545,55,56,0,0,3,1,1,1,1,2,0,0,0,2,2,0,0
6938,0.217753,udp,dns,CON,2,2,126,330,13.777078,62,252,2314.549072,6061.914551,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,63,165,0,0,1,3,1,1,1,1,0,0,0,1,1,0,1
11176,0.306022,tcp,-,FIN,12,8,674,376,62.087042,254,252,16155.70215,8600.689453,3,2,26.218,42.782855,1462.158765,60.986703,255,2542846040,1155876016,255,0.053388,0.006533,0.046855,56,47,0,0,1,1,1,1,1,1,0,0,0,1,2,0,1
33524,0.454562,udp,-,CON,4,4,568,304,15.399439,31,29,7497.327148,4012.653809,0,0,146.351328,120.082336,206.959313,169.814281,0,0,0,0,0.0,0.0,0.0,142,76,0,0,10,0,5,1,1,4,0,0,0,6,14,0,0
59274,7e-06,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,3,3,3,3,0,0,0,3,9,0,1
78860,1e-05,udp,-,INT,2,0,104,0,100000.0025,254,0,41600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,2,2,1,1,3,0,0,0,2,4,0,0
20903,0.473845,tcp,-,FIN,12,8,1612,436,40.0975,254,252,24953.30664,6449.366211,3,2,38.633635,58.89643,1989.477618,70.067273,255,3998272313,611515541,255,0.087665,0.061569,0.026096,134,55,0,0,3,1,1,1,1,1,0,0,0,2,1,0,1
50417,1.1e-05,emcon,-,INT,2,0,180,0,90909.0902,254,0,65454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,8,2,2,2,2,2,0,0,0,2,6,0,1
69623,1.362192,tcp,-,FIN,14,12,774,642,18.352772,254,252,4222.605957,3459.130371,4,3,104.784,114.560367,5347.972087,189.629844,255,4134497135,3580207634,255,0.163812,0.071279,0.092533,55,54,0,0,2,1,1,1,1,2,0,0,0,1,3,0,0
3405,9e-06,sctp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,2,1,1,2,0,0,0,1,1,0,1
70787,1.549947,tcp,-,FIN,14,12,820,678,16.129584,254,252,3933.037598,3210.432373,4,4,119.226695,126.450094,6046.944185,190.944734,255,320566572,1057082229,255,0.192336,0.091054,0.101282,59,57,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
65611,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,8,2,4,4,4,4,0,0,0,5,8,0,1
60601,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,2,7,7,3,7,0,0,0,7,18,0,1
70358,9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,0
42650,0.596049,tcp,-,FIN,10,8,534,354,28.521145,254,252,6455.844727,4160.731445,2,1,66.112111,78.46643,3703.119592,151.357359,255,333448603,1073529332,255,0.113703,0.046775,0.066928,53,44,0,0,2,1,2,1,1,2,0,0,0,4,3,0,0
49171,1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,11,2,4,4,4,4,0,0,0,6,11,0,1
59465,1.1e-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,12,2,4,4,4,4,0,0,0,4,12,0,1
44775,0.518061,ospf,-,INT,20,0,1040,0,36.675219,254,0,15256.8916,0.0,0,0,27.266369,0.0,31.164342,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,2,2,2,2,2,0,0,0,2,2,0,1
44360,1.161484,tcp,ftp,FIN,12,12,634,682,19.802253,254,252,4008.664795,4311.725098,3,4,105.53873,99.704547,6718.375238,173.319031,255,270805550,1574208013,255,0.124191,0.06473,0.059461,53,57,0,0,2,1,2,1,1,2,0,0,0,2,2,0,1
51987,0.415612,tcp,http,FIN,10,6,810,268,36.091353,254,252,14032.31836,4311.713867,2,1,43.020778,70.049398,2241.597494,111.658117,255,2061740909,3040685456,255,0.120923,0.065361,0.055562,81,45,0,0,1,1,3,1,1,3,0,0,0,3,1,0,1
5460,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,3,3,5,0,0,0,3,5,0,1
41770,0.654886,tcp,-,FIN,10,6,534,268,22.90475,254,252,5875.831543,2736.354004,2,1,72.765111,117.264,3569.504806,188.8075,255,3255391878,1726908174,255,0.149834,0.067726,0.082108,53,45,0,0,3,1,1,1,1,2,0,0,0,1,2,0,0
26137,0.050321,udp,-,CON,4,4,568,304,139.106929,31,29,67725.20313,36247.29297,0,0,11.675333,16.247333,16.495857,22.965178,0,0,0,0,0.0,0.0,0.0,142,76,0,0,10,0,5,1,1,4,0,0,0,6,6,0,0
73707,0.652819,tcp,-,FIN,10,6,610,268,22.977273,254,252,6727.745605,2745.018311,2,1,65.599444,111.546602,3381.53003,164.508266,255,401638954,4212248624,255,0.212594,0.095082,0.117512,61,45,0,0,9,1,1,1,1,5,0,0,0,2,5,0,0
55038,1e-05,ptp,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,13,2,2,2,2,2,0,0,0,7,11,0,1
62854,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,1
